rank,Name,team_id,country,score,events
1,perfect blue,53802,United States,1425.658,42
2,More Smoked Leet Chicken,1005,Russian Federation,1084.136,38
3,hxp,585,idk,823.585,29
4,TokyoWesterns,12599,Japan,797.192,32
5,Plaid Parliament of Pwning,284,United States,786.941,39
6,ALLES!,18419,Germany,761.812,32
7,Balsn,16978,"Taiwan, Republic of China",752.09,42
8,p4,5152,Poland,727.637,28
9,Tea Deliverers,38838,China,675.999,11
10,Dragon Sector,3329,Poland,669.334,24
11,The Flat Network Society,87434,France,664.743,48
12,justCatTheFish,33893,Poland,649.351,24
13,Corrupted Pwnis,87386,Russian Federation,643.085,36
14,DiceGang,109452,United States,623.03,32
15,A*0*E,38901,China,602.889,8
16,0ops,4419,China,598.371,22
17,Bushwhackers,586,Russian Federation,590.111,42
18,Epic Leet Team,9061,Brazil,527.248,25
19,Shellphish,285,United States,524.396,51
20,Nu1L,19208,China,517.776,20
21,pasten,6965,Israel,516.292,9
22,r3kapig,58979,China,500.549,26
23,koreanbadass,34926,"Korea, Republic of",481.015,6
24,zer0pts,54599,Japan,478.97,33
25,redpwn,59759,United States,473.778,32
26,OpenToAll,9135,idk,463.731,102
27,0daysober,760,Congo,454.752,18
28,C4T BuT S4D,83435,Russian Federation,452.371,42
29,Black Bauhinia,83678,Hong Kong,448.604,43
30,saarsec,15337,Germany,446.55,24
31,the3000,110885,idk,441.815,72
32,Samurai,1937,United States,441.421,20
33,Super Guesser,130817,idk,434.612,17
34,WreckTheLine,57908,idk,426.364,32
35,bi0s,662,India,426.149,51
36,RPISEC,572,United States,418.943,26
37,bootplug,81341,Norway,412.659,71
38,Never Stop Exploiting,13575,China,409.776,15
39,RedRocket,48677,Germany,396.657,21
40,mhackeroni,57788,Italy,392.224,11
41,0x90r00t,16700,France,385.026,70
42,HackingForSoju,3208,Sweden,380.45,92
43,TSG,16088,Japan,373.913,31
44,ASIS,4140,"Iran, Islamic Republic of",370.965,26
45,"from Sousse, with love",107171,Tunisia,369.864,43
46,the cr0wn,48976,United Kingdom,358.105,50
47,flagbot,34878,Switzerland,353.955,20
48,organizers,42934,Switzerland,353.589,6
49,FAUST,550,Germany,344.604,18
50,pwnthem0le,60467,Italy,344.141,30
51,Tasteless,604,idk,343.899,16
52,EPT,119480,Norway,335.867,34
53,Order of the Overflow,56866,idk,327.44,2
54,ENOFLAG,1438,Germany,326.012,44
55,PFS,86357,United States,325.861,31
56,STT,34619,Portugal,324.176,47
57,More Bush Smoked Whackers,119927,Russian Federation,314.422,4
58,warlock_rootx,75661,India,309.699,91
59,Defenit,43817,"Korea, Republic of",309.516,98
60,dcua,762,Ukraine,305.203,112
61,Whitzard,57907,China,299.208,15
62,Fword,72251,Tunisia,293.238,74
63,RGBsec,118163,United States,287.506,32
64,FluxFingers,551,Germany,287.16,12
65,Sentry Whale,74001,France,283.086,20
66,kalmarunionen,114856,Denmark,281.649,25
67,RootMeUpBeforeYouGoGo,132008,France,278.04,17
68,Made In MIM,48557,Poland,272.905,17
69,HgbSec,59175,Austria,269.906,23
70,ZH3R0,116018,India,269.435,70
71,ID-10-T,50611,Spain,268.937,18
72,WE_0WN_Y0U,1964,Austria,265.605,31
73,greunion,29976,Greece,265.191,16
74,Kernel Sanders,397,United States,264.663,53
75,Maple Bacon,73723,Canada,264.58,45
76,FireShell,25526,Brazil,258.785,27
77,CTD Elite,34465,Russian Federation,255.71,47
78,Bat Squad,117020,idk,252.757,51
79,./Vespiary,80092,Japan,251.064,27
80,Callipygian Consortium of Cryptography,114056,United States,250.749,18
81,TRX,46516,Italy,248.248,23
82,ByteForc3,71631,India,243.887,123
83,PwnThyBytes,59199,idk,242.375,6
84,Nbz,71603,Israel,239.092,14
85,kks,32621,Russian Federation,237.522,29
86,mode13h,73961,Norway,236.895,44
87,Pwnium,9062,Tunisia,236.603,14
88,noraneco,12750,Japan,235.748,128
89,b01lers,11464,United States,234.509,31
90,c0r3dump,65521,Hungary,233.167,32
91,misc,109523,Australia,231.641,30
92,Red Cadets,59617,Russian Federation,231.198,34
93,The WINRaRs,113086,United Kingdom,228.702,51
94,NYUSEC,439,United States,222.151,22
95,CyKOR,369,"Korea, Republic of",220.871,17
96,r3billions,50821,Egypt,219.128,28
97,Srdnlen,83421,Italy,218.939,25
98,10sec,61603,"Taiwan, Republic of China",217.326,28
99,PGiatasti,80262,Italy,216.889,11
100,OSUSEC,12858,United States,213.352,32
101,Hackiit,70459,Spain,210.754,20
102,DarkArmy,26569,India,210.419,59
103,Vidar-Team,8211,China,205.911,14
104,HackerDom,552,Russian Federation,205.075,4
105,fargate,63864,Russian Federation,203.655,24
106,ripp3rs,50984,Spain,202.72,28
107,Armia Prezesa,23184,Poland,201.055,13
108,MV9rwGOf08,3170,idk,199.808,49
109,r00timentary,32783,United States,199.746,4
110,ZenHack,37768,Italy,199.53,16
111,D0G$,133430,idk,199.28,1
112,HITCON,8299,"Taiwan, Republic of China",196.22,1
113,InfoSecIITR,16691,India,194.761,79
114,noar,57922,"Korea, Republic of",192.737,43
115,ByteBandits,13691,India,191.605,38
116,watevr,75674,Sweden,188.5,41
117,csictf,77170,India,188.181,53
118,No Pwn Intended,32638,Italy,186.955,25
119,NorseCode,110823,Sweden,186.932,6
120,Bulba Hackers,105724,Belarus,186.832,13
121,JustHacking,59573,idk,186.7,4
122,Pwn Intended,120438,idk,186.427,15
123,by7ch,112541,United States,185.922,10
124,b1c,36439,United States,183.668,9
125,Hexion,77992,Israel,182.707,47
126,VulnX,117274,India,181.705,20
127,d4rkc0de,15154,India,181.652,67
128,DefenitelyZer0,126786,idk,181.336,6
129,Goburin',111613,"Taiwan, Republic of China",179.222,28
130,NULLKrypt3rs,45761,India,179.213,39
131,VKTeam,32525,Russian Federation,178.522,26
132,ARESx,128734,United States,178.517,28
133,efiens,14322,Viet Nam,177.058,35
134,Invaders,71588,India,176.056,40
135,PwnaSonic,21256,Japan,174.749,97
136,SIGPwny,27763,United States,174.389,14
137,Daemon Summoners,127228,Canada,174.076,14
138,/(spin)*s/,105853,United States,173.577,51
139,Regular Fellows,109754,Ukraine,173.245,54
140,MELTDOWN,4709,idk,173.221,20
141,SIGFLAG,32127,Austria,171.917,22
142,JBZ,31388,Italy,171.308,16
143,PASECA,70335,Russian Federation,168.036,15
144,Spotless,90774,Netherlands,167.287,28
145,BurpFiction,59699,Ukraine,166.902,29
146,SIG0CT,121193,Singapore,165.38,28
147,burner_herz0g,63292,United States,164.733,59
148,Venom,974,idk,164.278,31
149,TeamCC,34942,Japan,164.053,66
150,SYPER,2003,Argentina,162.905,22
151,ISITDTU,8241,Viet Nam,162.295,44
152,upbhack,57581,Germany,162.11,20
153,Corax,113107,Norway,161.131,68
154,GoN,1288,"Korea, Republic of",160.365,19
155,SPRAVEDLIVAЯ RUSH A,76463,Russian Federation,159.962,32
156,CSI,11930,Indonesia,158.492,62
157,Cntr0llz,80535,Chile,157.996,13
158,W&M,54666,China,157.847,11
