rank,Name,team_id,country,score,events
1,r3kapig,58979,China,1589.023,49
2,kalmarunionen,114856,Denmark,1461.26,48
3,".;,;.",222911,United States,1168.809,29
4,Never Stop Exploiting,13575,China,1102.792,14
5,The Flat Network Society,87434,France,1083.731,53
6,Project Sekai,169557,idk,1044.817,22
7,Nu1L,19208,China,994.618,37
8,Infobahn,364723,idk,962.959,37
9,thehackerscrew,85618,Antarctica,955.754,48
10,justCatTheFish,33893,Poland,944.425,25
11,BunkyoWesterns,269765,Japan,943.792,34
12,organizers,42934,Switzerland,914.879,44
13,L3ak,220336,United States,892.653,33
14,TheRomanXpl0it,46516,Italy,867.852,57
15,C4T BuT S4D,83435,Russian Federation,829.883,11
16,ASIS,4140,"Iran, Islamic Republic of",793.388,11
17,💦​,205897,idk,789.265,11
18,Friendly Maltese Citizens,220769,Malta,748.712,14
19,valgrind,355817,Saint Vincent and the Grenadines,746.352,58
20,FluxFingers,551,Germany,731.689,23
21,UofTCTF,139261,Canada,696.404,45
22,RubiyaLab,303159,"Korea, Republic of",688.617,58
23,Squid Proxy Lovers,222966,United States,678.982,38
24,L.A.R.P.,269755,Germany,655.077,25
25,saarsec,15337,Germany,647.327,15
26,0ops,4419,China,634.606,14
27,SNHT,193894,Sweden,622.408,28
28,pwnthem0le,60467,Italy,608.771,14
29,bi0s,662,India,606.717,73
30,The Few Chosen,140885,Romania,591.522,29
31,[:],375355,United States,589.724,5
32,InfoSecIITR,16691,India,567.199,67
33,dtl,157017,Russian Federation,564.266,26
34,SU,29641,China,555.77,57
35,Maple Bacon,73723,Canada,547.05,46
36,S™,7533,Poland,539.639,23
37,Cryptonite,62713,India,536.42,97
38,b01lers,11464,United States,531.199,46
39,Superflat,274071,Netherlands,521.075,23
40,Bushwhackers,586,Russian Federation,517.947,21
41,PwnSec,28797,idk,512.41,63
42,Zer0RocketWrecks,307823,idk,511.682,8
43,0xL4ugh,132776,Egypt,508.501,59
44,ARESx,128734,United States,505.379,40
45,SNI,279998,Indonesia,497.284,30
46,Shellphish,285,United States,494.493,34
47,Ganesh,54706,Brazil,493.719,52
48,Srdnlen,83421,Italy,491.094,46
49,BKISC,199510,Viet Nam,489.497,77
50,Maple Mallard Magistrates,193591,idk,488.318,6
51,0bscuri7y,370140,India,485.004,75
52,ENOFLAG,1438,Germany,484.909,13
53,0xFUN,354033,Saudi Arabia,482.508,78
54,Hack@Sec,135426,Nepal,478.175,68
55,Gimel,357179,Poland,477.97,59
56,noreply,210760,Algeria,472.447,39
57,WROng_flag,375467,Poland,469.477,17
58,Pwn-la-Chapelle,279433,Germany,460.309,18
59,More Smoked Leet Chicken,1005,Russian Federation,459.849,15
60,mhackeroni,57788,Italy,459.78,7
61,Lil L3ak,373171,idk,459.346,44
62,Knightsec,2500,United States,458.831,33
63,W&M,54666,China,458.488,13
64,Tower of Hanoi,300,Italy,458.435,25
65,> r0/dev/null,305658,Romania,457.77,39
66,CyKOR,369,"Korea, Republic of",457.542,26
67,🐧‎,283853,idk,454.465,40
68,bingus,154656,Italy,449.759,11
69,SIGPwny,27763,United States,445.648,18
70,RaptX,357584,idk,444.633,37
71,KITCTF,7221,Germany,437.216,16
72,MindCrafters,284686,Poland,436.415,93
73,tjcsc,53812,United States,433.935,22
74,DeadSec,19339,Jordan,425.974,41
75,The power of Elijah,368793,Russian Federation,424.913,26
76,Ireland without the RE,179144,Ireland,422.496,39
77,AreDaYush?,230725,Mongolia,418.139,48
78,BlitzHack,307415,India,413.801,119
79,WE_0WN_Y0U,1964,Austria,412.231,22
80,DiceGang,109452,United States,412.224,8
81,Cosmic Bit Flip,372043,United States,411.846,27
82,Platypwnies,112550,Germany,411.63,13
83,NUS GreyHats,16740,Singapore,411.459,14
84,HCS,70159,Indonesia,410.964,92
85,Slovak Cyber Team,197247,Slovakia,409.095,47
86,Plaid Parliament of Pwning,284,United States,404.417,35
87,PBR | UCLA,186494,United States,401.449,23
88,Super Guesser,130817,idk,400.981,12
89,Kheshig,305688,Mongolia,397.626,84
90,THEM?!,390919,idk,395.891,30
91,CSUI,70551,Indonesia,395.116,15
92,GMO Ierae,224122,Japan,394.194,7
93,Securani,360303,Poland,393.898,15
94,KuK Hofhackerei,59774,Austria,391.613,7
95,QnQSec,367683,Jordan,389.962,62
96,BITSkrieg,22310,India,389.432,115
97,f4n_n3r0,281734,Viet Nam,388.023,137
98,UniverSea,371632,Viet Nam,384.699,37
99,S1uM4i,224936,China,383.831,21
100,BIZone,32190,Russian Federation,378.7,2
101,0xHUST,374531,Viet Nam,376.789,35
102,LosFuzzys,8323,Austria,372.787,20
103,The Amazing Digital Orange!,248480,"Korea, Republic of",371.006,9
104,0-Day Aarhus,251818,Denmark,370.788,33
105,Nc{Cat},360305,Saudi Arabia,370.209,58
106,dcua,762,Ukraine,361.891,41
107,FPTU Ethical Hacker Club,187155,Viet Nam,361.498,77
108,SaturnX,144333,"Korea, Republic of",359.321,26
109,h4tum,113083,Germany,358.26,30
110,Thread in the Needle,278978,Greece,354.095,36
111,Nautilus Institute,181536,United States,353.862,4
112,pwnagaukar,160468,Iceland,352.964,23
113,0xf1sh,299716,United States,351.502,55
114,Czech Cyber Team,65727,Czech Republic,350.862,9
115,st0p_cyb3rbu11ying,271315,Russian Federation,350.666,60
116,about:blankets,208552,Italy,350.495,8
117,Trojeun,374058,Algeria,350.285,45
118,Wanna.W1n,138431,Viet Nam,349.572,7
119,NYUSEC,439,United States,347.025,72
120,full_weak_engineer,305489,Japan,346.977,18
121,Drovosec,210132,Russian Federation,341.548,16
122,0bug,238436,India,341.495,58
123,KCSC,82759,Viet Nam,335.456,12
124,Azure Assassin Alliance,194222,China,329.606,45
125,CubeMastery,168744,United States,328.523,14
126,ResetSec,266022,Antarctica,327.991,36
127,STT,34619,Portugal,327.474,19
128,W4llz,397301,idk,323.335,32
