rank,Name,team_id,country,score,events
1,Dragon Sector,3329,Poland,1092.135,28
2,Balsn,16978,"Taiwan, Republic of China",1027.851,51
3,Plaid Parliament of Pwning,284,United States,1005.588,36
4,p4,5152,Poland,901.68,30
5,TokyoWesterns,12599,Japan,868.579,41
6,Tea Deliverers,38838,China,830.589,12
7,dcua,762,Ukraine,811.351,82
8,LC↯BC,15726,Russian Federation,796.661,38
9,perfect blue,53802,United States,743.502,35
10,Bushwhackers,586,Russian Federation,719.386,48
11,A*0*E,38901,China,717.827,10
12,r3kapig,58979,China,708.369,25
13,hxp,585,idk,631.199,33
14,Shellphish,285,United States,625.886,33
15,217,5160,"Taiwan, Republic of China",576.922,11
16,OpenToAll,9135,idk,569.019,82
17,0daysober,760,Congo,541.051,14
18,!SpamAndHex,5347,Hungary,501.149,15
19,LeaveCat-PLUS,47490,"Korea, Republic of",492.163,12
20,pasten,6965,Israel,486.772,7
21,RPISEC,572,United States,481.123,37
22,bi0s,662,India,466.003,47
23,ALLES!,18419,Germany,463.676,26
24,ASIS,4140,"Iran, Islamic Republic of",462.184,58
25,justCatTheFish,33893,Poland,442.768,31
26,WreckTheLine,57908,idk,442.062,44
27,saarsec,15337,Germany,429.675,54
28,0ops,4419,China,423.166,18
29,Tasteless,604,idk,419.013,17
30,voidka,11532,Russian Federation,412.153,34
31,RedRocket,48677,Germany,376.783,31
32,CyKOR,369,"Korea, Republic of",375.868,18
33,Never Stop Exploiting,13575,China,364.003,16
34,HackingForSoju,3208,Sweden,356.212,78
35,TRX,46516,Italy,347.875,23
36,The Flat Network Society,87434,France,343.397,19
37,Nu1L,19208,China,340.117,18
38,Epic Leet Team,9061,Brazil,337.74,31
39,FluxFingers,551,Germany,334.866,16
40,FireShell,25526,Brazil,328.047,44
41,0x90r00t,16700,France,320.694,48
42,MELTDOWN,4709,idk,318.786,26
43,InfoSecIITR,16691,India,306.934,56
44,ISITDTU,8241,Viet Nam,303.651,56
45,Corrupted Lights,58631,Russian Federation,300.702,18
46,Black Bauhinia,83678,Hong Kong,290.834,25
47,the cr0wn,48976,United Kingdom,289.5,44
48,STT,34619,Portugal,288.792,38
49,HackerDom,552,Russian Federation,286.844,5
50,mhackeroni,57788,Italy,283.243,11
51,Defenit,43817,"Korea, Republic of",281.628,84
52,NASA Rejects,34572,United States,279.929,16
53,binja,9083,Japan,279.712,9
54,TSG,16088,Japan,278.886,16
55,Google CTF,23929,idk,276.226,3
56,5BC,42318,Israel,273.236,4
57,flagbot,34878,Switzerland,271.381,18
58,badfirmware,29966,idk,270.843,54
59,noraneco,12750,Japan,270.626,94
60,Pwnium,9062,Tunisia,266.635,40
61,10sec,61603,"Taiwan, Republic of China",266.271,32
62,bootplug,81341,Norway,265.6,27
63,redpwn,59759,United States,264.887,35
64,pwnPHOfun,80562,Viet Nam,264.059,13
65,Made In MIM,48557,Poland,262.829,20
66,Harekaze,29688,Japan,261.256,42
67,fargate,63864,Russian Federation,261.126,48
68,Order of the Overflow,56866,idk,259.78,2
69,WE_0WN_Y0U,1964,Austria,259.309,15
70,galhacktic trendsetters,27939,United States,255.053,12
71,ID-10-T,50611,Spain,253.05,20
72,Sice Squad,55508,United States,248.23,25
73,"Hecării, Țuica și Păunii",58218,Romania,245.014,84
74,Kernel Sanders,397,United States,243.518,61
75,Shadow Servants,20740,Russian Federation,242.235,16
76,SUSlo.PAS,6502,Russian Federation,242.12,15
77,C4T BuT S4D,83435,Russian Federation,237.495,20
78,NYUSEC,439,United States,230.787,25
79,eee,20634,China,230.492,9
80,LosFuzzys,8323,Austria,227.992,23
81,CTD Elite,34465,Russian Federation,227.415,47
82,De1ta,57691,China,226.545,17
83,c0r3dump,65521,Hungary,224.786,42
84,r00timentary,32783,United States,224.692,4
85,ENOFLAG,1438,Germany,223.011,34
86,Armia Prezesa,23184,Poland,221.897,26
87,CodeRed,4004,"Korea, Republic of",217.964,12
88,GoN,1288,"Korea, Republic of",215.874,25
89,seoulplusbadass,79775,idk,214.542,3
90,zer0pts,54599,Japan,213.13,31
91,No Pwn Intended,32638,Italy,213.016,19
92,FAUST,550,Germany,211.707,14
93,BisonSquad,60210,United States,211.063,54
94,Invaders,71588,India,209.701,60
95,kks,32621,Russian Federation,209.346,31
96,Dc1ph3R,69272,India,208.87,77
97,polygl0ts,53791,Switzerland,206.703,23
98,$wag,46544,"Korea, Republic of",204.632,36
99,ZenHack,37768,Italy,204.14,26
100,******,12592,China,202.029,27
101,Lunary,44294,Russian Federation,198.406,13
102,PwnaSonic,21256,Japan,197.858,72
103,Whitzard,57907,China,196.939,17
104,Maple Bacon,73723,Canada,195.756,20
105,pwnthem0le,60467,Italy,193.739,23
106,HATS Singapore,58574,Singapore,193.093,24
107,NOPS,4056,France,192.136,11
108,Nyx,39727,Turkey,191.206,21
109,ripp3rs,50984,Spain,190.723,22
110,warlock_rootx,75661,India,187.999,68
111,VolgaCTF.org,27094,Russian Federation,187.04,3
112,Sauercloud,54748,Germany,185.86,3
113,watevr,75674,Sweden,185.243,40
114,pwndevils,14321,United States,185.22,24
115,The Northern Coalition,32119,Canada,181.248,22
116,MV9rwGOf08,3170,idk,180.912,28
117,PwnThyBytes,59199,idk,179.64,7
118,Sudo_root,16812,Algeria,179.33,17
119,Kappa,1607,Russian Federation,178.466,12
120,mode13h,73961,Norway,177.479,27
121,TeamCC,34942,Japan,175.807,50
122,SIGFLAG,32127,Austria,175.039,14
123,Samurai,1937,United States,173.972,7
124,Djavaa,45327,Indonesia,172.537,40
125,efiens,14322,Viet Nam,169.326,35
126,ByteForc3,71631,India,168.93,89
127,SFT0,32139,Russian Federation,168.55,14
128,Sentry Whale,74001,France,167.667,18
129,d4rkc0de,15154,India,164.308,22
130,r3billions,50821,Egypt,162.408,57
131,Flagiarism,65723,"Taiwan, Republic of China",160.902,19
132,HgbSec,59175,Austria,160.313,16
133,ker,66222,Russian Federation,160.045,35
134,OSUSEC,12858,United States,159.351,13
135,Abs0lut3Pwn4g3,72103,India,158.867,30
136,onotch,37849,Japan,158.354,96
137,noar,57922,"Korea, Republic of",158.043,28
138,Nbz,71603,Israel,155.453,5
139,pwnthanasia,81762,idk,155.032,9
140,sf,1923,Germany,154.175,11
141,SECCON CTF,11918,Japan,153.6,3
142,BreakPoint,20531,Turkey,153.558,27
143,Tower of Hanoi,300,Italy,151.994,8
144,LionHack,57588,Sweden,150.656,23
145,dotsu-,58740,China,150.3,39
146,GR00T5,72736,India,147.885,45
147,fearless,66276,Czech Republic,147.64,23
148,Mayas,47386,Mexico,147.303,26
149,CGC,79777,"Korea, Republic of",147.013,4
150,kainashi,65969,idk,146.755,9
151,NULLKrypt3rs,45761,India,144.829,42
152,UTC,75919,United States,143.947,6
153,TeamRocketIst,27504,Portugal,142.937,36
154,SDSLabs,2480,India,142.714,22
155,Lancet,20556,China,142.614,36
156,Corrupted Pwnis,87386,Russian Federation,142.327,7
157,0FA,72117,Switzerland,141.215,24
158,PKTeam,14354,Spain,140.799,18
159,DuckDuckNo,57587,Estonia,140.61,15
160,b01lers,11464,United States,140.531,30
161,SPbCTF,30003,Russian Federation,139.837,3
162,AceBear,45755,Viet Nam,139.296,6
163,CSI,11930,Indonesia,139.037,27
164,excusemewtf,104977,Switzerland,138.292,11
165,pearl,48542,United States,137.96,11
166,wecaneat5hamburgersatonce,91079,"Korea, Republic of",137.5,1
167,ASGama,24022,Indonesia,137.499,25
168,UnKnoWnCheaTs,22048,idk,137.459,31
169,team enu,4894,Japan,135.991,13
170,A1ph4Z3r0,85129,United States,135.041,11
171,SSAT,35630,"Korea, Republic of",134.941,42
172,securisec,39971,Bangladesh,133.64,22
173,goo,626,Slovakia,132.535,23
174,KUDoS,71813,Japan,128.756,57
175,PASECA,70335,Russian Federation,128.606,17
176,null2root,35626,"Korea, Republic of",126.072,23
177,NaruseJun,21252,Japan,125.633,6
178,TeamPowerPrinter,70227,Denmark,124.957,30
179,ByteBandits,13691,India,123.688,10
180,Tresk,38328,Slovakia,123.495,16
