rank,Name,team_id,country,score,events
1,Dragon Sector,3329,Poland,1793.171,33
2,Plaid Parliament of Pwning,284,United States,1592.179,28
3,More Smoked Leet Chicken,1005,Russian Federation,1256.494,28
4,StratumAuhuur,5317,Germany,1074.093,30
5,penthackon,5348,idk,819.393,32
6,dcua,762,Ukraine,793.524,35
7,BalalaikaCr3w,3257,Russian Federation,742.368,34
8,Samurai,1937,United States,685.605,23
9,int3pids,288,Spain,681.592,25
10,tomcr00se,5162,United States,658.276,15
11,Eindbazen,322,Netherlands,601.796,25
12,hxp,585,idk,600.807,28
13,blue-lotus,1941,China,581.765,23
14,!SpamAndHex,5347,Hungary,574.291,28
15,Rdot.org,339,Russian Federation,564.64,26
16,9447,4854,Australia,563.284,22
17,0x8F,761,idk,534.081,26
18,Tasteless,604,idk,490.034,27
19,HITCON,8299,"Taiwan, Republic of China",485.674,11
20,HackerDom,552,Russian Federation,444.489,11
21,GoN,1288,"Korea, Republic of",439.148,14
22,SIGINT,6473,United States,434.292,24
23,HackingForSoju,3208,Sweden,430.035,20
24,Shellphish,285,United States,428.06,20
25,FluxFingers,551,Germany,416.315,19
26,0ops,4419,China,402.951,22
27,The ReiserFS APpreciation Society,4687,Christmas Island,394.551,13
28,w3stormz,1815,France,369.401,14
29,Snatch The Root,7016,Poland,361.275,28
30,CodeRed,4004,"Korea, Republic of",354.387,15
31,Bushwhackers,586,Russian Federation,344.846,10
32,Legitimate Business Syndicate,9811,United States,340.0,0
33,0x0,6968,Japan,334.253,21
34,ufologists,469,Russian Federation,318.636,18
35,ReallyNonamesFor,2540,Russian Federation,314.345,18
36,MMA,4899,Japan,296.079,20
37,0xffa,8306,idk,290.0,2
38,EpsilonDelta,3050,Japan,273.329,20
39,w0pr,1963,idk,272.938,28
40,Men in Black Hats,4890,idk,272.349,8
41,dodododo,6434,Japan,270.741,22
42,Gallopsled,8902,Denmark,269.86,6
43,CLGT,298,Viet Nam,263.073,12
44,217,5160,"Taiwan, Republic of China",262.173,10
45,Hardc0de,3335,Russian Federation,261.39,19
46,The Cat is #1!!,2538,"Korea, Democratic People's Republic of",260.066,16
47,[TechnoPandas],1946,Russian Federation,257.748,2
48,pwnies,1816,Denmark,252.534,10
49,Marauders,3641,United States,251.475,13
50,ASIS,4140,"Iran, Islamic Republic of",237.248,15
51,Hexcellents,4183,Romania,232.875,13
52,botbie,3199,Viet Nam,227.156,20
53,Singularity,1425,Russian Federation,223.313,19
54,NYUSEC,439,United States,222.99,18
55,SUSlo.PAS,6502,Russian Federation,217.221,16
56,1064CBread,5320,United States,216.076,15
57,Hacknam Style,3192,Belgium,213.783,15
58,6l0ry,1429,"Taiwan, Republic of China",212.919,27
59,RAON_ASRT,3206,"Korea, Republic of",199.239,4
60,SegFault,3944,India,190.772,19
61,squareroots,554,Germany,189.107,25
62,PiggyBird,3184,Viet Nam,188.978,18
63,Honeypot,405,Russian Federation,184.442,19
64,Hexpresso,4434,France,183.754,21
65,Leet More,3,Russian Federation,180.0,2
66,Neg9,303,United States,176.057,10
67,binja,9083,Japan,172.106,4
68,Shadow Cats,4710,United States,170.193,18
69,WE_0WN_Y0U,1964,Austria,161.162,12
70,bamboo,7033,idk,157.799,6
71,CISSP Groupies,314,Canada,156.18,8
72,Knightsec,2500,United States,154.937,19
73,Pashok,3891,Russian Federation,152.601,4
74,RooterX,1434,Russian Federation,152.251,24
75,KITCTF,7221,Germany,150.792,15
76,SiBears,557,Russian Federation,146.188,11
77,Robot Mafia,292,idk,144.413,9
78,RPISEC,572,United States,143.439,9
79,Reckless Abandon,8903,idk,142.686,2
80,TRex,4861,Russian Federation,141.498,17
81,Koibasta,496,Russian Federation,141.397,13
82,Delusions of Grandeur,446,United States,132.381,10
83,sutegoma2,280,Japan,131.132,9
84,TeamRedAce,3198,Netherlands,130.626,19
85,Alternatives,804,"Korea, Republic of",128.19,7
86,Disgrace,6456,France,126.507,20
87,1338-offbyone,793,Germany,125.456,19
88,Guardian,3323,"Korea, Republic of",124.925,7
89,PLUS,1679,"Korea, Republic of",123.697,8
90,gn00bz,302,idk,122.404,7
91,NULL Life,321,idk,122.235,22
92,Lights Out,7931,Russian Federation,121.35,11
93,LSE,757,France,120.533,14
